,Crop,N,P,K,pH
55,Garlic,50,10,60,5.5
56,Lemon,20,10,10,3.1
57,Tomato,100,40,90,6.0
58,Ash Gourd,60,10,30,5.5
59,Pineapple,160,40,120,6.5
60,Pomegranate,20,10,40,5.5
61,Banana,100,75,50,6.5
62,Mango,20,20,30,5.0
63,Grapes,20,125,200,4.0
64,Jackfruit,75,40,50,5.0
65,Guava,50,50,50,5.0
66,Water Melon,100,10,50,5.5
67,Musk Melon,100,10,50,5.5
68,Apricot,40,50,25,6.5
69,Apple,20,125,200,6.5
70,Chickoo,40,30,60,5.0
71,Custard apple,40,20,40,6.5
72,Dates,40,125,20,6.5
73,Figs,20,60,20,5.0
74,Orange,20,10,10,4.0
75,Papaya,50,50,50,6.0
76,Aniseed,100,50,20,5.0
77,Asafoetida,90,40,20,5.0
78,Bay Leaf,100,50,25,5.0
79,Black Pepper,100,60,50,5.0
80,Cardamom,75,75,150,5.0
81,Cinnamon,20,20,25,5.0
82,Cloves,20,20,60,5.0
83,Jaiphal(Nutmeg),20,20,60,5.0
84,Ginger,40,50,20,5.0
85,Turmeric,25,60,100,5.0
86,Cashewnuts,70,40,60,6.0
87,Raisins,60,30,30,6.0
88,Coconut,20,10,30,5.0
89,Almond Nut,70,20,10,6.0
90,Arecanut,100,40,140,6.0
91,Pistachio Nut,90,20,20,6.0
92,Lemon Grass,25,40,40,5.5
93,Cotton,120,40,20,5.5
94,Jute,80,40,40,5.5
95,Coffee,100,20,30,5.5
96,Sunflower,50,60,30,5.5
97,Rice,80,40,40,5.52
98,Jowar(Sorghum),80,40,40,5.52
99,Barley(JAV),70,40,45,5.52
100,Maize,80,40,20,5.52
101,Ragi( naachnnii),50,40,20,5.52
102,Chickpeas(Channa),40,60,80,5.52
103,French Beans(Farasbi),90,125,60,5.02
104,Fava beans (Papdi - Val),90,125,60,5.02
105,Lima beans(Pavta),40,60,20,5.02
106,Cluster Beans(Gavar),25,50,25,5.02
107,Soyabean,20,60,20,5.52
108,Black eyed beans( chawli),20,60,20,5.52
109,Kidney beans,20,60,20,5.52
110,pigeon peas(Toor Dal),20,60,20,5.52
111,Moth bean(Matki),20,40,20,5.52
112,Mung beans,20,40,20,5.52
113,Green Peas,40,35,55,6.02
114,Horse Gram(kulthi),20,60,20,6.02
115,Black Gram,40,60,20,5.02
116,Rapeseed (Mohri),50,40,20,5.02
117,Coriander seeds,90,20,20,6.52
118,Mustard seeds,100,30,15,6.52
119,sesame seed,30,15,30,6.52
120,Cumin seeds,90,60,20,6.52
121,Lentils(Masoor Dal),20,60,20,5.52
122,Brinjal,80,15,40,6.52
123,Beetroot,120,50,100,5.52
124,Bitter Gourd,60,10,20,6.52
125,Bottle Gourd,100,50,50,6.52
126,Capsicum,100,20,60,6.52
127,Cabbage,100,65,70,6.52
128,Carrot,40,45,60,5.52
129,Cauliflower,80,70,50,6.52
130,Cucumber,60,60,85,6.52
131,Coriander leaves,10,20,20,6.52
132,Curry leaves,20,20,20,6.52
133,Drumstick – moringa,40,20,10,6.52
134,Chili,120,20,80,6.52
135,Lady Finger,80,10,40,6.52
136,Mushroom,100,50,60,6.52
137,Onion,120,60,65,6.02
138,Potato,180,60,90,5.02
139,Pumpkin,80,50,30,5.52
140,Radish,25,100,50,6.02
141,Olive,100,60,30,6.52
142,Sweet Potato,90,20,120,5.02
143,Fenugreek Leaf(methi),30,25,40,6.02
144,Spinach,60,60,50,6.02
145,Ridgegourd,90,50,20,6.52
146,Gooseberry(Amla),20,50,20,4.52
147,Jambun(Syzygium cumini),10,10,10,4.22
148,Ziziphus mauritiana(Bor),20,10,10,6.02
149,Garcinia indica(kokam),40,25,50,4.22
150,Tamarind,20,15,25,3.12
151,Tapioca(Suran),50,50,50,5.52
152,Garlic,50,10,60,5.52
153,Lemon,20,10,10,3.12
154,Tomato,100,40,90,6.02
155,Ash Gourd,60,10,30,5.52
156,Pineapple,160,40,120,6.52
157,Pomegranate,20,10,40,5.52
158,Banana,100,75,50,6.52
159,Mango,20,20,30,5.02
160,Grapes,20,125,200,4.02
161,Jackfruit,75,40,50,5.02
162,Guava,50,50,50,5.02
163,Water Melon,100,10,50,5.52
164,Musk Melon,100,10,50,5.52
165,Apricot,40,50,25,6.52
166,Apple,20,125,200,6.52
167,Chickoo,40,30,60,5.02
168,Custard apple,40,20,40,6.52
169,Dates,40,125,20,6.52
170,Figs,20,60,20,5.02
171,Orange,20,10,10,4.02
172,Papaya,50,50,50,6.02
173,Aniseed,100,50,20,5.02
174,Asafoetida,90,40,20,5.02
175,Bay Leaf,100,50,25,5.02
176,Black Pepper,100,60,50,5.02
177,Cardamom,75,75,150,5.02
178,Cinnamon,20,20,25,5.02
179,Cloves,20,20,60,5.02
180,Jaiphal(Nutmeg),20,20,60,5.02
181,Ginger,40,50,20,5.02
182,Turmeric,25,60,100,5.02
183,Cashewnuts,70,40,60,6.02
184,Raisins,60,30,30,6.02
185,Coconut,20,10,30,5.02
186,Almond Nut,70,20,10,6.02
187,Arecanut,100,40,140,6.02
188,Pistachio Nut,90,20,20,6.02
189,Lemon Grass,25,40,40,5.52
190,Cotton,120,40,20,5.52
191,Jute,80,40,40,5.52
192,Coffee,100,20,30,5.52
193,Sunflower,50,60,30,5.52
194,Rice,80,40,40,5.54
195,Jowar(Sorghum),80,40,40,5.54
196,Barley(JAV),70,40,45,5.54
197,Maize,80,40,20,5.54
198,Ragi( naachnnii),50,40,20,5.54
199,Chickpeas(Channa),40,60,80,5.54
200,French Beans(Farasbi),90,125,60,5.04
201,Fava beans (Papdi - Val),90,125,60,5.04
202,Lima beans(Pavta),40,60,20,5.04
203,Cluster Beans(Gavar),25,50,25,5.04
204,Soyabean,20,60,20,5.54
205,Black eyed beans( chawli),20,60,20,5.54
206,Kidney beans,20,60,20,5.54
207,pigeon peas(Toor Dal),20,60,20,5.54
208,Moth bean(Matki),20,40,20,5.54
209,Mung beans,20,40,20,5.54
210,Green Peas,40,35,55,6.04
211,Horse Gram(kulthi),20,60,20,6.04
212,Black Gram,40,60,20,5.04
213,Rapeseed (Mohri),50,40,20,5.04
214,Coriander seeds,90,20,20,6.54
215,Mustard seeds,100,30,15,6.54
216,sesame seed,30,15,30,6.54
217,Cumin seeds,90,60,20,6.54
218,Lentils(Masoor Dal),20,60,20,5.54
219,Brinjal,80,15,40,6.54
220,Beetroot,120,50,100,5.54
221,Bitter Gourd,60,10,20,6.54
222,Bottle Gourd,100,50,50,6.54
223,Capsicum,100,20,60,6.54
224,Cabbage,100,65,70,6.54
225,Carrot,40,45,60,5.54
226,Cauliflower,80,70,50,6.54
227,Cucumber,60,60,85,6.54
228,Coriander leaves,10,20,20,6.54
229,Curry leaves,20,20,20,6.54
230,Drumstick – moringa,40,20,10,6.54
231,Chili,120,20,80,6.54
232,Lady Finger,80,10,40,6.54
233,Mushroom,100,50,60,6.54
234,Onion,120,60,65,6.04
235,Potato,180,60,90,5.04
236,Pumpkin,80,50,30,5.54
237,Radish,25,100,50,6.04
238,Olive,100,60,30,6.54
239,Sweet Potato,90,20,120,5.04
240,Fenugreek Leaf(methi),30,25,40,6.04
241,Spinach,60,60,50,6.04
242,Ridgegourd,90,50,20,6.54
243,Gooseberry(Amla),20,50,20,4.54
244,Jambun(Syzygium cumini),10,10,10,4.24
245,Ziziphus mauritiana(Bor),20,10,10,6.04
246,Garcinia indica(kokam),40,25,50,4.24
247,Tamarind,20,15,25,3.14
248,Tapioca(Suran),50,50,50,5.54
249,Garlic,50,10,60,5.54
250,Lemon,20,10,10,3.14
251,Tomato,100,40,90,6.04
252,Ash Gourd,60,10,30,5.54
253,Pineapple,160,40,120,6.54
254,Pomegranate,20,10,40,5.54
255,Banana,100,75,50,6.54
256,Mango,20,20,30,5.04
257,Grapes,20,125,200,4.04
258,Jackfruit,75,40,50,5.04
259,Guava,50,50,50,5.04
260,Water Melon,100,10,50,5.54
261,Musk Melon,100,10,50,5.54
262,Apricot,40,50,25,6.54
263,Apple,20,125,200,6.54
264,Chickoo,40,30,60,5.04
265,Custard apple,40,20,40,6.54
266,Dates,40,125,20,6.54
267,Figs,20,60,20,5.04
268,Orange,20,10,10,4.04
269,Papaya,50,50,50,6.04
270,Aniseed,100,50,20,5.04
271,Asafoetida,90,40,20,5.04
272,Bay Leaf,100,50,25,5.04
273,Black Pepper,100,60,50,5.04
274,Cardamom,75,75,150,5.04
275,Cinnamon,20,20,25,5.04
276,Cloves,20,20,60,5.04
277,Jaiphal(Nutmeg),20,20,60,5.04
278,Ginger,40,50,20,5.04
279,Turmeric,25,60,100,5.04
280,Cashewnuts,70,40,60,6.04
281,Raisins,60,30,30,6.04
282,Coconut,20,10,30,5.04
283,Almond Nut,70,20,10,6.04
284,Arecanut,100,40,140,6.04
285,Pistachio Nut,90,20,20,6.04
286,Lemon Grass,25,40,40,5.54
287,Cotton,120,40,20,5.54
288,Jute,80,40,40,5.54
289,Coffee,100,20,30,5.54
290,Sunflower,50,60,30,5.54
291,Rice,80,40,40,5.56
292,Jowar(Sorghum),80,40,40,5.56
293,Barley(JAV),70,40,45,5.56
294,Maize,80,40,20,5.56
295,Ragi( naachnnii),50,40,20,5.56
296,Chickpeas(Channa),40,60,80,5.56
297,French Beans(Farasbi),90,125,60,5.06
298,Fava beans (Papdi - Val),90,125,60,5.06
299,Lima beans(Pavta),40,60,20,5.06
300,Cluster Beans(Gavar),25,50,25,5.06
301,Soyabean,20,60,20,5.56
302,Black eyed beans( chawli),20,60,20,5.56
303,Kidney beans,20,60,20,5.56
304,pigeon peas(Toor Dal),20,60,20,5.56
305,Moth bean(Matki),20,40,20,5.56
306,Mung beans,20,40,20,5.56
307,Green Peas,40,35,55,6.06
308,Horse Gram(kulthi),20,60,20,6.06
309,Black Gram,40,60,20,5.06
310,Rapeseed (Mohri),50,40,20,5.06
311,Coriander seeds,90,20,20,6.56
312,Mustard seeds,100,30,15,6.56
313,sesame seed,30,15,30,6.56
314,Cumin seeds,90,60,20,6.56
315,Lentils(Masoor Dal),20,60,20,5.56
316,Brinjal,80,15,40,6.56
317,Beetroot,120,50,100,5.56
318,Bitter Gourd,60,10,20,6.56
319,Bottle Gourd,100,50,50,6.56
320,Capsicum,100,20,60,6.56
321,Cabbage,100,65,70,6.56
322,Carrot,40,45,60,5.56
323,Cauliflower,80,70,50,6.56
324,Cucumber,60,60,85,6.56
325,Coriander leaves,10,20,20,6.56
326,Curry leaves,20,20,20,6.56
327,Drumstick – moringa,40,20,10,6.56
328,Chili,120,20,80,6.56
329,Lady Finger,80,10,40,6.56
330,Mushroom,100,50,60,6.56
331,Onion,120,60,65,6.06
332,Potato,180,60,90,5.06
333,Pumpkin,80,50,30,5.56
334,Radish,25,100,50,6.06
335,Olive,100,60,30,6.56
336,Sweet Potato,90,20,120,5.06
337,Fenugreek Leaf(methi),30,25,40,6.06
338,Spinach,60,60,50,6.06
339,Ridgegourd,90,50,20,6.56
340,Gooseberry(Amla),20,50,20,4.56
341,Jambun(Syzygium cumini),10,10,10,4.26
342,Ziziphus mauritiana(Bor),20,10,10,6.06
343,Garcinia indica(kokam),40,25,50,4.26
344,Tamarind,20,15,25,3.16
345,Tapioca(Suran),50,50,50,5.56
346,Garlic,50,10,60,5.56
347,Lemon,20,10,10,3.16
348,Tomato,100,40,90,6.06
349,Ash Gourd,60,10,30,5.56
350,Pineapple,160,40,120,6.56
351,Pomegranate,20,10,40,5.56
352,Banana,100,75,50,6.56
353,Mango,20,20,30,5.06
354,Grapes,20,125,200,4.06
355,Jackfruit,75,40,50,5.06
356,Guava,50,50,50,5.06
357,Water Melon,100,10,50,5.56
358,Musk Melon,100,10,50,5.56
359,Apricot,40,50,25,6.56
360,Apple,20,125,200,6.56
361,Chickoo,40,30,60,5.06
362,Custard apple,40,20,40,6.56
363,Dates,40,125,20,6.56
364,Figs,20,60,20,5.06
365,Orange,20,10,10,4.06
366,Papaya,50,50,50,6.06
367,Aniseed,100,50,20,5.06
368,Asafoetida,90,40,20,5.06
369,Bay Leaf,100,50,25,5.06
370,Black Pepper,100,60,50,5.06
371,Cardamom,75,75,150,5.06
372,Cinnamon,20,20,25,5.06
373,Cloves,20,20,60,5.06
374,Jaiphal(Nutmeg),20,20,60,5.06
375,Ginger,40,50,20,5.06
376,Turmeric,25,60,100,5.06
377,Cashewnuts,70,40,60,6.06
378,Raisins,60,30,30,6.06
379,Coconut,20,10,30,5.06
380,Almond Nut,70,20,10,6.06
381,Arecanut,100,40,140,6.06
382,Pistachio Nut,90,20,20,6.06
383,Lemon Grass,25,40,40,5.56
384,Cotton,120,40,20,5.56
385,Jute,80,40,40,5.56
386,Coffee,100,20,30,5.56
387,Sunflower,50,60,30,5.56
388,Rice,80,40,40,5.58
389,Jowar(Sorghum),80,40,40,5.58
390,Barley(JAV),70,40,45,5.58
391,Maize,80,40,20,5.58
392,Ragi( naachnnii),50,40,20,5.58
393,Chickpeas(Channa),40,60,80,5.58
394,French Beans(Farasbi),90,125,60,5.08
395,Fava beans (Papdi - Val),90,125,60,5.08
396,Lima beans(Pavta),40,60,20,5.08
397,Cluster Beans(Gavar),25,50,25,5.08
398,Soyabean,20,60,20,5.58
399,Black eyed beans( chawli),20,60,20,5.58
400,Kidney beans,20,60,20,5.58
401,pigeon peas(Toor Dal),20,60,20,5.58
402,Moth bean(Matki),20,40,20,5.58
403,Mung beans,20,40,20,5.58
404,Green Peas,40,35,55,6.08
405,Horse Gram(kulthi),20,60,20,6.08
406,Black Gram,40,60,20,5.08
407,Rapeseed (Mohri),50,40,20,5.08
408,Coriander seeds,90,20,20,6.58
409,Mustard seeds,100,30,15,6.58
410,sesame seed,30,15,30,6.58
411,Cumin seeds,90,60,20,6.58
412,Lentils(Masoor Dal),20,60,20,5.58
413,Brinjal,80,15,40,6.58
414,Beetroot,120,50,100,5.58
415,Bitter Gourd,60,10,20,6.58
416,Bottle Gourd,100,50,50,6.58
417,Capsicum,100,20,60,6.58
418,Cabbage,100,65,70,6.58
419,Carrot,40,45,60,5.58
420,Cauliflower,80,70,50,6.58
421,Cucumber,60,60,85,6.58
422,Coriander leaves,10,20,20,6.58
423,Curry leaves,20,20,20,6.58
424,Drumstick – moringa,40,20,10,6.58
425,Chili,120,20,80,6.58
426,Lady Finger,80,10,40,6.58
427,Mushroom,100,50,60,6.58
428,Onion,120,60,65,6.08
429,Potato,180,60,90,5.08
430,Pumpkin,80,50,30,5.58
431,Radish,25,100,50,6.08
432,Olive,100,60,30,6.58
433,Sweet Potato,90,20,120,5.08
434,Fenugreek Leaf(methi),30,25,40,6.08
435,Spinach,60,60,50,6.08
436,Ridgegourd,90,50,20,6.58
437,Gooseberry(Amla),20,50,20,4.58
438,Jambun(Syzygium cumini),10,10,10,4.28
439,Ziziphus mauritiana(Bor),20,10,10,6.08
440,Garcinia indica(kokam),40,25,50,4.28
441,Tamarind,20,15,25,3.18
442,Tapioca(Suran),50,50,50,5.58
443,Garlic,50,10,60,5.58
444,Lemon,20,10,10,3.18
445,Tomato,100,40,90,6.08
446,Ash Gourd,60,10,30,5.58
447,Pineapple,160,40,120,6.58
448,Pomegranate,20,10,40,5.58
449,Banana,100,75,50,6.58
450,Mango,20,20,30,5.08
451,Grapes,20,125,200,4.08
452,Jackfruit,75,40,50,5.08
453,Guava,50,50,50,5.08
454,Water Melon,100,10,50,5.58
455,Musk Melon,100,10,50,5.58
456,Apricot,40,50,25,6.58
457,Apple,20,125,200,6.58
458,Chickoo,40,30,60,5.08
459,Custard apple,40,20,40,6.58
460,Dates,40,125,20,6.58
461,Figs,20,60,20,5.08
462,Orange,20,10,10,4.08
463,Papaya,50,50,50,6.08
464,Aniseed,100,50,20,5.08
465,Asafoetida,90,40,20,5.08
466,Bay Leaf,100,50,25,5.08
467,Black Pepper,100,60,50,5.08
468,Cardamom,75,75,150,5.08
469,Cinnamon,20,20,25,5.08
470,Cloves,20,20,60,5.08
471,Jaiphal(Nutmeg),20,20,60,5.08
472,Ginger,40,50,20,5.08
473,Turmeric,25,60,100,5.08
474,Cashewnuts,70,40,60,6.08
475,Raisins,60,30,30,6.08
476,Coconut,20,10,30,5.08
477,Almond Nut,70,20,10,6.08
478,Arecanut,100,40,140,6.08
479,Pistachio Nut,90,20,20,6.08
480,Lemon Grass,25,40,40,5.58
481,Cotton,120,40,20,5.58
482,Jute,80,40,40,5.58
483,Coffee,100,20,30,5.58
484,Sunflower,50,60,30,5.58
485,Rice,80,40,40,5.6
486,Jowar(Sorghum),80,40,40,5.6
487,Barley(JAV),70,40,45,5.6
488,Maize,80,40,20,5.6
489,Ragi( naachnnii),50,40,20,5.6
490,Chickpeas(Channa),40,60,80,5.6
491,French Beans(Farasbi),90,125,60,5.1
492,Fava beans (Papdi - Val),90,125,60,5.1
493,Lima beans(Pavta),40,60,20,5.1
494,Cluster Beans(Gavar),25,50,25,5.1
495,Soyabean,20,60,20,5.6
496,Black eyed beans( chawli),20,60,20,5.6
497,Kidney beans,20,60,20,5.6
498,pigeon peas(Toor Dal),20,60,20,5.6
499,Moth bean(Matki),20,40,20,5.6
500,Mung beans,20,40,20,5.6
501,Green Peas,40,35,55,6.1
502,Horse Gram(kulthi),20,60,20,6.1
503,Black Gram,40,60,20,5.1
504,Rapeseed (Mohri),50,40,20,5.1
505,Coriander seeds,90,20,20,6.6
506,Mustard seeds,100,30,15,6.6
507,sesame seed,30,15,30,6.6
508,Cumin seeds,90,60,20,6.6
509,Lentils(Masoor Dal),20,60,20,5.6
510,Brinjal,80,15,40,6.6
511,Beetroot,120,50,100,5.6
512,Bitter Gourd,60,10,20,6.6
513,Bottle Gourd,100,50,50,6.6
514,Capsicum,100,20,60,6.6
515,Cabbage,100,65,70,6.6
516,Carrot,40,45,60,5.6
517,Cauliflower,80,70,50,6.6
518,Cucumber,60,60,85,6.6
519,Coriander leaves,10,20,20,6.6
520,Curry leaves,20,20,20,6.6
521,Drumstick – moringa,40,20,10,6.6
522,Chili,120,20,80,6.6
523,Lady Finger,80,10,40,6.6
524,Mushroom,100,50,60,6.6
525,Onion,120,60,65,6.1
526,Potato,180,60,90,5.1
527,Pumpkin,80,50,30,5.6
528,Radish,25,100,50,6.1
529,Olive,100,60,30,6.6
530,Sweet Potato,90,20,120,5.1
531,Fenugreek Leaf(methi),30,25,40,6.1
532,Spinach,60,60,50,6.1
533,Ridgegourd,90,50,20,6.6
534,Gooseberry(Amla),20,50,20,4.6
535,Jambun(Syzygium cumini),10,10,10,4.3
536,Ziziphus mauritiana(Bor),20,10,10,6.1
537,Garcinia indica(kokam),40,25,50,4.3
538,Tamarind,20,15,25,3.2
539,Tapioca(Suran),50,50,50,5.6
540,Garlic,50,10,60,5.6
541,Lemon,20,10,10,3.2
542,Tomato,100,40,90,6.1
543,Ash Gourd,60,10,30,5.6
544,Pineapple,160,40,120,6.6
545,Pomegranate,20,10,40,5.6
546,Banana,100,75,50,6.6
547,Mango,20,20,30,5.1
548,Grapes,20,125,200,4.1
549,Jackfruit,75,40,50,5.1
550,Guava,50,50,50,5.1
551,Water Melon,100,10,50,5.6
552,Musk Melon,100,10,50,5.6
553,Apricot,40,50,25,6.6
554,Apple,20,125,200,6.6
555,Chickoo,40,30,60,5.1
556,Custard apple,40,20,40,6.6
557,Dates,40,125,20,6.6
558,Figs,20,60,20,5.1
559,Orange,20,10,10,4.1
560,Papaya,50,50,50,6.1
561,Aniseed,100,50,20,5.1
562,Asafoetida,90,40,20,5.1
563,Bay Leaf,100,50,25,5.1
564,Black Pepper,100,60,50,5.1
565,Cardamom,75,75,150,5.1
566,Cinnamon,20,20,25,5.1
567,Cloves,20,20,60,5.1
568,Jaiphal(Nutmeg),20,20,60,5.1
569,Ginger,40,50,20,5.1
570,Turmeric,25,60,100,5.1
571,Cashewnuts,70,40,60,6.1
572,Raisins,60,30,30,6.1
573,Coconut,20,10,30,5.1
574,Almond Nut,70,20,10,6.1
575,Arecanut,100,40,140,6.1
576,Pistachio Nut,90,20,20,6.1
577,Lemon Grass,25,40,40,5.6
578,Cotton,120,40,20,5.6
579,Jute,80,40,40,5.6
580,Coffee,100,20,30,5.6
581,Sunflower,50,60,30,5.6
582,Rice,80,40,40,5.62
583,Jowar(Sorghum),80,40,40,5.62
584,Barley(JAV),70,40,45,5.62
585,Maize,80,40,20,5.62
586,Ragi( naachnnii),50,40,20,5.62
587,Chickpeas(Channa),40,60,80,5.62
588,French Beans(Farasbi),90,125,60,5.12
589,Fava beans (Papdi - Val),90,125,60,5.12
590,Lima beans(Pavta),40,60,20,5.12
591,Cluster Beans(Gavar),25,50,25,5.12
592,Soyabean,20,60,20,5.62
593,Black eyed beans( chawli),20,60,20,5.62
594,Kidney beans,20,60,20,5.62
595,pigeon peas(Toor Dal),20,60,20,5.62
596,Moth bean(Matki),20,40,20,5.62
597,Mung beans,20,40,20,5.62
598,Green Peas,40,35,55,6.12
599,Horse Gram(kulthi),20,60,20,6.12
600,Black Gram,40,60,20,5.12
601,Rapeseed (Mohri),50,40,20,5.12
602,Coriander seeds,90,20,20,6.62
603,Mustard seeds,100,30,15,6.62
604,sesame seed,30,15,30,6.62
605,Cumin seeds,90,60,20,6.62
606,Lentils(Masoor Dal),20,60,20,5.62
607,Brinjal,80,15,40,6.62
608,Beetroot,120,50,100,5.62
609,Bitter Gourd,60,10,20,6.62
610,Bottle Gourd,100,50,50,6.62
611,Capsicum,100,20,60,6.62
612,Cabbage,100,65,70,6.62
613,Carrot,40,45,60,5.62
614,Cauliflower,80,70,50,6.62
615,Cucumber,60,60,85,6.62
616,Coriander leaves,10,20,20,6.62
617,Curry leaves,20,20,20,6.62
618,Drumstick – moringa,40,20,10,6.62
619,Chili,120,20,80,6.62
620,Lady Finger,80,10,40,6.62
621,Mushroom,100,50,60,6.62
622,Onion,120,60,65,6.12
623,Potato,180,60,90,5.12
624,Pumpkin,80,50,30,5.62
625,Radish,25,100,50,6.12
626,Olive,100,60,30,6.62
627,Sweet Potato,90,20,120,5.12
628,Fenugreek Leaf(methi),30,25,40,6.12
629,Spinach,60,60,50,6.12
630,Ridgegourd,90,50,20,6.62
631,Gooseberry(Amla),20,50,20,4.62
632,Jambun(Syzygium cumini),10,10,10,4.32
633,Ziziphus mauritiana(Bor),20,10,10,6.12
634,Garcinia indica(kokam),40,25,50,4.32
635,Tamarind,20,15,25,3.22
636,Tapioca(Suran),50,50,50,5.62
637,Garlic,50,10,60,5.62
638,Lemon,20,10,10,3.22
639,Tomato,100,40,90,6.12
640,Ash Gourd,60,10,30,5.62
641,Pineapple,160,40,120,6.62
642,Pomegranate,20,10,40,5.62
643,Banana,100,75,50,6.62
644,Mango,20,20,30,5.12
645,Grapes,20,125,200,4.12
646,Jackfruit,75,40,50,5.12
647,Guava,50,50,50,5.12
648,Water Melon,100,10,50,5.62
649,Musk Melon,100,10,50,5.62
650,Apricot,40,50,25,6.62
651,Apple,20,125,200,6.62
652,Chickoo,40,30,60,5.12
653,Custard apple,40,20,40,6.62
654,Dates,40,125,20,6.62
655,Figs,20,60,20,5.12
656,Orange,20,10,10,4.12
657,Papaya,50,50,50,6.12
658,Aniseed,100,50,20,5.12
659,Asafoetida,90,40,20,5.12
660,Bay Leaf,100,50,25,5.12
661,Black Pepper,100,60,50,5.12
662,Cardamom,75,75,150,5.12
663,Cinnamon,20,20,25,5.12
664,Cloves,20,20,60,5.12
665,Jaiphal(Nutmeg),20,20,60,5.12
666,Ginger,40,50,20,5.12
667,Turmeric,25,60,100,5.12
668,Cashewnuts,70,40,60,6.12
669,Raisins,60,30,30,6.12
670,Coconut,20,10,30,5.12
671,Almond Nut,70,20,10,6.12
672,Arecanut,100,40,140,6.12
673,Pistachio Nut,90,20,20,6.12
674,Lemon Grass,25,40,40,5.62
675,Cotton,120,40,20,5.62
676,Jute,80,40,40,5.62
677,Coffee,100,20,30,5.62
678,Sunflower,50,60,30,5.62
679,Rice,80,40,40,5.64
680,Jowar(Sorghum),80,40,40,5.64
681,Barley(JAV),70,40,45,5.64
682,Maize,80,40,20,5.64
683,Ragi( naachnnii),50,40,20,5.64
684,Chickpeas(Channa),40,60,80,5.64
685,French Beans(Farasbi),90,125,60,5.14
686,Fava beans (Papdi - Val),90,125,60,5.14
687,Lima beans(Pavta),40,60,20,5.14
688,Cluster Beans(Gavar),25,50,25,5.14
689,Soyabean,20,60,20,5.64
690,Black eyed beans( chawli),20,60,20,5.64
691,Kidney beans,20,60,20,5.64
692,pigeon peas(Toor Dal),20,60,20,5.64
693,Moth bean(Matki),20,40,20,5.64
694,Mung beans,20,40,20,5.64
695,Green Peas,40,35,55,6.14
696,Horse Gram(kulthi),20,60,20,6.14
697,Black Gram,40,60,20,5.14
698,Rapeseed (Mohri),50,40,20,5.14
699,Coriander seeds,90,20,20,6.64
700,Mustard seeds,100,30,15,6.64
701,sesame seed,30,15,30,6.64
702,Cumin seeds,90,60,20,6.64
703,Lentils(Masoor Dal),20,60,20,5.64
704,Brinjal,80,15,40,6.64
705,Beetroot,120,50,100,5.64
706,Bitter Gourd,60,10,20,6.64
707,Bottle Gourd,100,50,50,6.64
708,Capsicum,100,20,60,6.64
709,Cabbage,100,65,70,6.64
710,Carrot,40,45,60,5.64
711,Cauliflower,80,70,50,6.64
712,Cucumber,60,60,85,6.64
713,Coriander leaves,10,20,20,6.64
714,Curry leaves,20,20,20,6.64
715,Drumstick – moringa,40,20,10,6.64
716,Chili,120,20,80,6.64
717,Lady Finger,80,10,40,6.64
718,Mushroom,100,50,60,6.64
719,Onion,120,60,65,6.14
720,Potato,180,60,90,5.14
